"outcome","gene","beta_step1","p_step1","beta_step2","p_step2","beta_total","mediation_effect","prop_mediated","sig_mediation","abs_prop"
"COPD","GUCY2D",2.57254644207994,2.50733570295504e-05,0.203888180421388,0.236257263586595,0.658823081178385,0.524511813125195,0.796134543718538,FALSE,0.796134543718538
"COPD","CADM2",1.64275331095328,7.35042850295152e-07,0.319174317785832,0.168586355721837,0.658823081178385,0.52432466731393,0.795850482918892,FALSE,0.795850482918892
"LungCancer","JMJD8",-3.84495130859791,5.74226550581989e-06,0.092118454071736,0.4178018287076,0.460974451161024,-0.354190970529138,-0.768352713772015,FALSE,0.768352713772015
"COPD","MYL6B",4.88534131003794,5.72178544132317e-06,0.102266284943738,0.187705926606116,0.658823081178385,0.499605706459753,0.758330606095566,FALSE,0.758330606095566
"LungCancer","RP11-320L11.2",3.98927907181119,0.000602315240110718,0.0834652380526171,0.371491157929082,0.460974451161024,0.332966127387045,0.722309287528683,FALSE,0.722309287528683
"CAD","NAT6",5.08581595619988,2.01704729451588e-08,0.0343443438027586,0.546586815654658,0.251845615703304,0.174669011717284,0.69355589625614,FALSE,0.69355589625614
"LungCancer","LRRC69",4.42216680486196,4.91631017699845e-06,0.0712698346283366,0.352944526230985,0.460974451161024,0.315167096881431,0.683697537005884,FALSE,0.683697537005884
"COPD","ERBB3",6.11095559745649,2.53645668141369e-07,-0.0727485419344998,0.301923846335251,0.658823081178385,-0.44456310954143,-0.674783750360225,FALSE,0.674783750360225
"CAD","TPM3",1.70640471079559,0.000287797268770008,0.098146164551086,0.102641042322694,0.251845615703304,0.167477077536493,0.664998979905988,FALSE,0.664998979905988
"CAD","CABP1",-2.589688526941,1.66926098530927e-05,-0.0641286657994445,0.272610108428169,0.251845615703304,0.166073270068855,0.659424900469595,FALSE,0.659424900469595
"COPD","HDGFRP2",2.2819981259808,0.000311524940508818,0.189496793371891,0.160458180549759,0.658823081178385,0.432431327354025,0.656369425583221,FALSE,0.656369425583221
"LungCancer","WDR24",-10.9470039744235,8.82886019819623e-09,-0.0274590404171884,0.698929362876363,0.460974451161024,0.300594224580818,0.652084348327184,FALSE,0.652084348327184
